vsfleet  DEMO · SAMPLE DATA  ◆ prod-vc  ·  1 connected                                                                            sort: name
 1 VMs 1000   2 Templates 16   3 Hosts 56   4 Clusters 6   5 Datastores 36   6 Networks 30   7 vApps 24
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  NAME                                                        POWER        CPU     MEM  IP ADDRESS        HOST                DATACENTER    
● ad-dc-01                                                    on             2      8G  -                 esxi-mgmt-02        Taipei        
● ad-dc-02                                                    on             4     16G  10.20.16.25       esxi-mgmt-01        Taipei        
● ad-dc-03                                                    on             4     16G  10.20.16.35       esxi-mgmt-04        Taipei        
● ad-dc-04                                                    on             8     32G  10.20.16.45       esxi-mgmt-03        Taipei        
● ad-dc-05                                                    on             2      8G  10.20.16.55       esxi-mgmt-02        Taipei        
● ad-dc-06                                                    on             4     16G  10.20.16.65       esxi-mgmt-01        Taipei        
● api-01                                                      on             8     32G  10.20.0.211       esxi-a-06           Taipei        
● api-02                                                      on             4     16G  10.20.0.23        esxi-a-08           Taipei        
● api-03                                                      on             4      8G  10.20.0.33        esxi-a-08           Taipei        
● api-04                                                      on             2      4G  10.20.0.43        esxi-a-02           Taipei        
● api-05                                                      on             8     32G  10.20.0.53        esxi-a-14           Taipei        
◐ api-06                                                      suspended      4     16G  -                 esxi-a-01           Taipei        
○ api-07                                                      off            4      8G  -                 esxi-a-08           Taipei        
● api-08                                                      on             2      4G  10.20.0.83        esxi-a-11           Taipei        
● api-09                                                      on             8     32G  10.20.0.93        esxi-a-11           Taipei        
◐ api-10                                                      suspended      4      8G  -                 esxi-a-10           Taipei        
● api-11                                                      on             4     16G  10.20.0.113       esxi-a-13           Taipei        
● api-12                                                      on             8     32G  10.20.0.123       esxi-a-08           Taipei        
◐ api-13                                                      suspended      2      4G  -                 esxi-a-14           Taipei        
● api-14                                                      on             4      8G  10.20.0.143       esxi-a-03           Taipei        
● api-15                                                      on             4     16G  10.20.0.153       esxi-a-09           Taipei        
● api-16                                                      on             8     32G  10.20.0.163       esxi-a-04           Taipei        
● api-17                                                      on             2      4G  10.20.0.173       esxi-a-07           Taipei        
● api-18                                                      on             4      8G  10.20.0.183       esxi-a-05           Taipei        
● api-19                                                      on             4     16G  10.20.0.193       esxi-a-16           Taipei        
● api-20                                                      on             4     16G  10.20.0.203       esxi-a-14           Taipei        
● api-21                                                      on             4      8G  10.20.1.13        esxi-a-12           Taipei        
● api-22                                                      on             2      4G  10.20.1.23        esxi-a-09           Taipei        
◐ api-23                                                      suspended      8     32G  -                 esxi-a-02           Taipei        
● api-24                                                      on             4     16G  10.20.1.43        esxi-a-06           Taipei        
● api-25                                                      on             4      8G  10.20.1.53        esxi-a-16           Taipei        
○ api-26                                                      off            2      4G  -                 esxi-a-01           Taipei        
● api-27                                                      on             8     32G  10.20.1.73        esxi-a-02           Taipei        
○ api-28                                                      off            4     16G  -                 esxi-a-09           Taipei        
prod-vc · 1000 VMs, 16 templates, 56 hosts, 6 clusters, 24 vApps, 36 datastores, 30 networks
1-7 kind  H history  c contexts  a all  / filter  r reload  ? help  q quit
